ref_no,title,tender_value,bid_submission_end_date,emd,bid_open_date
02/NIT/CE CUM ED/BPZ/CPWD/2025-26,"Supply Installation testing & Commissioning of Audio-Video system including other associated services for 500 Seater Auditorium 2 Nos 90 Seaters Teaching halls at IISER ,Berhampur, Odisha
Subwork/Packages:One","₹2,94,50,115",06/06/2025 15:00,"₹5,89,002",06/06/2025 15:30
03/SE/DC-6/V-Divn/2025-26,"Upgradation and Special repair work of Type-VI, Type-IV(S), Type-V(B), Transit flats and other miscellaneous works at Hudco Place Extension and AGV Complex, New Delhi (SH: Civil & Electrical works).
Subwork/Packages:Upgradation and Special repair work of Type-VI, Type-IV(S), Type-V(B) Transit flats and other miscellaneous works at Hudco Place Extension and AGV Complex, New Delhi (SH: Civil & Electrical works).","₹20,63,79,562",06/06/2025 15:00,"₹30,63,796",06/06/2025 15:30
04/NIT/SE&PD/BGPC/2025-26,"Construction of Married Hostel RCC Structure G Plus 6 and Finishing upto G Plus 4 at the Extended portion of the Land parcel Behind new Hostel Block in the Permanent Campus of IIM Bodhgaya Bihar
Subwork/Packages:Married accommodation","₹36,45,41,095",06/06/2025 15:00,"₹46,45,411",06/06/2025 15:30
07/CE/Dehradun/EE(Garhwal)/Dehradun/2025-26,"Construction of School Building Type A 02 Section upto First Floor Ramps and staff quarters T-II-04 Nos., T-III-04 Nos., T-V-01 No., Boundary wall, Electric Sub Station Guard Room Canteen including development work at Kendriya Vidyalaya Agustyamuni, Rudraprayag, Uttarakhand.
Subwork/Packages:Construction of School Building Type A 02 Section upto First Floor Ramps and staff quarters T-II-04 nos., T-III-04 Nos., T-V-01 No., Boundary wall, Electric Sub Station Guard Room Canteen including development work at Kendriya Vidyalaya Augustyamuni, Rudraprayag, Uttarakhand.","₹40,84,11,886",06/06/2025 15:00,"₹50,84,200",06/06/2025 15:30
30/2025-26/DED-201(RECALL),"Up-Gradation of residences of HMPs Lok Sabha and Rajya Sabha at Dr. B.D. Marg under Sub Div-III, DED-201, New Delhi. Sub head SITC of 1 No. 10 Passenger Lifts at Brahmaputra Apartment .
Subwork/Packages:SITC of 1 No. 10 Passenger Lifts at Brahmaputra Apartment.","₹18,59,572",06/06/2025 15:00,"₹37,191",06/06/2025 15:30
02/NIT/SE-Barasat/CPWD/2025-26,"Construction of Type-II 88 nos. Residential Quarter (S plus 11) for BN HQ, Basirhat at BSF Campus Rajarhat under South Bengal Frontier (Balance Work)
Subwork/Packages:Construction of Type-II 88 nos. Residential Quarter.","₹10,19,91,820",09/06/2025 15:00,"₹20,19,918",09/06/2025 15:30
13/2025/SEcumPD/MNITPC/Jaipur,Providing Wi Fi System in 320 Bedded EWS Hostel in MNIT Jaipur,"₹1,72,53,343",13/06/2025 15:00,"₹3,45,067",13/06/2025 15:30
01/EE/BFD-V/CPWD/FZR/2025-26,"Consultancy services for preparation of Detailed Project Report, Cost and Time Estimate and Tender Documents and drawings for construction of axial roads (Roads leading from locations inside Indian Territory to Border Security Fence) along Indo-Pak Border under Ferozpur and Abohar Sector in the State of Punjab (Total Length-109.094 kms) (SH:- Complete work related to land acquisition such as survey, demarcation on ground, preparation of draft notifications and verifying them to revenue department etc. (Balance Works) Package-II(b)
Subwork/Packages:SH:- Complete work related to land acquisition such as survey, demarcation on ground, preparation of draft notifications and verifying them to revenue department etc. (Balance Work) - Package-II(b)","₹78,01,094",10/06/2025 15:00,"₹1,56,022",10/06/2025 15:30
04/EE(E)/Vadodara/2025-26,"Maintenance of Electrical & Mechanical services at Central Revenue Colony, Ghod Dod Road, Surat.
Subwork/Packages:Comprehensive maintenance of 8 Nos. Kone make 13 Passenger Lifts during the year 2025-26 (01 Year)","₹12,60,384",06/06/2025 15:00,"₹25,208",06/06/2025 15:30
01/NIT/CE&ED-IIT(ISM)/CPWD/- (Modified),"Construction of 144 units (stilt plus 12) of Type-II (3 block) and 96 units (stilt plus 12) of Type-III (2 block) i/c internal water supply, sanitary installation, drainage, sewerage, STP(250 KLD), external water supply, U.G. tank (550000 litre), storm water drain, roads & paths, internal E.I. & Fans, wet riser system fire alarm system, UPS system, CCTV system, Hydro Pneumatic water supply system, substation equipments, DG set, Illuminated signages, street lighting, lifts, Horticulture & landscaping, transplantation of trees and other development work & bulk services (Civil & Electrical) in main campus at IIT(ISM) Dhanbad (2nd call)","₹1,39,19,18,272",12/06/2025 15:00,"₹1,49,19,183",12/06/2025 15:30
03/CE/BFZ/EE(P-I)/2025-26,"Construction of Lateral & Axial Roads in the state of Punjab & Rajasthan along the Indo-Pakistan Border SH:- Lateral & Axial Road, Barmer Sector, Package-I, including 5 years maintenance (On EPC Mode).
Subwork/Packages:Lateral & Axial Road, Barmer Sector, Package-I, including 5 years maintenance (On EPC Mode).","₹1,26,12,23,473",20/06/2025 15:00,"₹1,36,12,235",20/06/2025 15:30
17/EE(E)/Jaipur/CPWD/2025-26/AE(E)-I,Comprehensive maintenance of 13 Passenger Johnson Make lift at different sites located at Jaipur for the F.Y. 2025-26 & 2026-27.,"₹33,01,128",06/06/2025 15:00,"₹66,023",06/06/2025 15:30
NIT No. 13/ACED/2025-26,"AMC for 01 Nos. OTIS Lift at Incometax office building Civil Lines, Allahabad","₹1,19,136",10/06/2025 15:00,"₹2,383",10/06/2025 15:30
10/EE(E)/PLEWD/2025-26,"Providing Thermal Card Printers and Thermal PVC Pre-printed SCOSTA Cards in Parliament House Complex, New Delhi.","₹50,67,332",09/06/2025 15:00,"₹1,01,347",09/06/2025 15:30
12/EE/BHUPD-3/2024-25,"Procurement of the furniture for Lecture Hall Complex (G plus 2) at IIT(BHU) Varanasi
Subwork/Packages:Procurement of the furniture for Lecture Hall Complex (G plus 2) at IIT(BHU) Varanasi","₹4,18,18,000",06/06/2025 15:00,"₹8,36,360",06/06/2025 15:30
07/CE(Bhopal)/EE-II/2025-26,"C/o Teaching and Research Lab (G plus 4) for Indian Institute of Science Education and Research (IISER) at Bhopal (M.P.). on EPC (Mode-1). SH: Planning, Designing and Construction of Teaching and Research Lab (G plus 4) consisting of Two No. Central Instrument Facility (CIF) hall (at G.F.), 24 Nos. Research Lab (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), 24 nos. Research lab (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), 24 nos. Faculty Room (6 nos. each at 1st Floor, 2nd Floor, 3rd Floor, and 4 Floor), 4 nos. Academic Lab (1 nos. each at 1st Floor, 2nd Floor, 3rd Floor and 4th Floor), AHU Rooms, Toilets with modular cubical and modular urinal partitions, other rooms (as per Architectural drawings), Accessible ramps, Parking area, Accessible road around the building and nearby development etc. including internal water supply, sanitary installation, drainage, all E and M services such as internal E/I ......... including development with BIM models.","₹75,31,53,387",16/06/2025 15:00,"₹85,31,534",16/06/2025 15:30
06/NIT/CE-Ranchi/CPWD/2025-26,"Providing Audio Video System for PDCA Building at Doranda, Ranchi, Jharkhand
Subwork/Packages:Providing Audio Video System for PDCA Building at Doranda, Ranchi, Jharkhand","₹1,36,69,882",09/06/2025 15:00,"₹2,73,398",09/06/2025 15:30
02/EE-cum-SM(E)/DPC-1/2025-26,"Creation of New Infrastructure at Surajmal Vihar Campus, Delhi University, Delhi
Subwork/Packages:Providing services of DEO and office Assistant in the Office of EE-cum-SM(E), DPC-1, CPWD, New delhi","₹19,43,520",05/06/2025 15:00,"₹38,870",05/06/2025 15:30
24/EE/CSD/2025-26,A/R & M/O Works of Defence Pool Bungalows occupied by Defence Pool Officers under CSD (Central Secretariat Division) during 2025-26 (SH Attending day to day complaints by engaging labour including supply of materials and necessary repair and periodical works),"₹65,70,349",09/06/2025 15:00,"₹1,31,407",09/06/2025 15:30
07/SE/DC-8/DED-81/2025-2026,"Supplying and replacement of existing 600 TR capacity AC unit installed at MeitY building CGO Complex Lodhi Road, New Delhi.","₹1,69,47,875",05/06/2025 15:00,"₹3,38,958",05/06/2025 15:30
01/NIT/DC-IV/2025-26,"Up-keeping and Providing Management Services for caretaking, Housekeeping, Safety & Security of articles in Guest Houses (Comprising of 05 Nos of Suite Room, 15 Nos Transit Hostel Rooms, 18 Nos Deluxe Rooms in CPWD Guest House in Aliganj, 20 Nos Deluxe Rooms in Holiday Homes in West Kidwai Nagar and all common areas), Washing/Dry Cleaning of Furnishings, Mess Facility/Catering etc. including watch and ward of CPWD Guest House at Aliganj, Jorbagh Lane, New Delhi and CPWD Guest House for Central Government officers Holiday Homes at West Kidwai Nagar New Delhi during 2025-27.","₹4,72,22,276",06/06/2025 15:00,"₹9,44,446",06/06/2025 15:30
32/AE(E)/KCESD-III/KCED-I/CPWD/2025-26,"MOEI & fans i/c RMO water pump set, 16 Nos. Type-II qtr., substation building, main office building, periphery compound light etc. at the complex of Anthropological Survey of India at Salt Lake, Kolkata (SH: Servicing and repairing / replacement of spare parts of 2 Nos. 400 KVA DG set at Anthropological Survey of India , Salt Lake, Kolkata).","₹2,76,283",10/06/2025 15:00,"₹5,526",10/06/2025 15:30
01/CE(GZB)/NIT/2025-26,REPLACEMENT AND UPGRADATION OF VRV/VRF SYSTEM AT NVS AT B-15 SECTOR-62 NOIDA (SH: SITC OF VRV/VRF AC WORKS),"₹1,83,97,707",10/06/2025 15:00,"₹3,67,954",10/06/2025 15:30
